"","Home","Away","Bet","Outcome","Line","Odds","NA","Matchup"
"1","LA Rams","BUF Bills","LA Rams: Team Total Points","Over","24.5","-110",NA,"LA Rams - BUF Bills"
"2","LA Rams","BUF Bills","LA Rams: Team Total Points","Under","24.5","-110",NA,"LA Rams - BUF Bills"
"3","LA Rams","BUF Bills","Spread 1st Half","BUF Bills","-1","-110",TRUE,"LA Rams - BUF Bills"
"4","LA Rams","BUF Bills","Spread 1st Half","LA Rams","+1","-110",TRUE,"LA Rams - BUF Bills"
"5","LA Rams","BUF Bills","Moneyline 1st Half","BUF Bills",NA,"-130",TRUE,"LA Rams - BUF Bills"
"6","LA Rams","BUF Bills","Moneyline 1st Half","LA Rams",NA,"+110",TRUE,"LA Rams - BUF Bills"
"7","LA Rams","BUF Bills","BUF Bills: Team Total Points","Over","27.5","-105",NA,"LA Rams - BUF Bills"
"8","LA Rams","BUF Bills","BUF Bills: Team Total Points","Under","27.5","-115",NA,"LA Rams - BUF Bills"
"9","LA Rams","BUF Bills","Total 1st Half","Over","24.5","-110",TRUE,"LA Rams - BUF Bills"
"10","LA Rams","BUF Bills","Total 1st Half","Under","24.5","-110",TRUE,"LA Rams - BUF Bills"
"11","MIN Vikings","GB Packers","Total 1st Half","Over","23.5","-110",TRUE,"MIN Vikings - GB Packers"
"12","MIN Vikings","GB Packers","Total 1st Half","Under","23.5","-110",TRUE,"MIN Vikings - GB Packers"
"13","DAL Cowboys","TB Buccaneers","Total 1st Half","Over","24.5","-105",TRUE,"DAL Cowboys - TB Buccaneers"
"14","DAL Cowboys","TB Buccaneers","Total 1st Half","Under","24.5","-115",TRUE,"DAL Cowboys - TB Buccaneers"
